Year,TyreManufacturer,Wins
1950,Pirelli,6
1950,Firestone,1
1950,Dunlop,0
1950,Englebert,0
1951,Pirelli,7
1951,Firestone,1
1951,Dunlop,0
1951,Englebert,0
1952,Pirelli,7
1952,Firestone,1
1952,Dunlop,0
1952,Englebert,0
1953,Pirelli,8
1953,Firestone,1
1953,Dunlop,0
1953,Englebert,0
1954,Pirelli,4
1954,Continental,4
1954,Firestone,1
1954,Englebert,0
1954,Dunlop,0
1954,Avon,0
1955,Continental,5
1955,Englebert,1
1955,Firestone,1
1955,Pirelli,0
1955,Dunlop,0
1956,Englebert,5
1956,Pirelli,2
1956,Firestone,1
1956,Dunlop,0
1956,Avon,0
1957,Pirelli,7
1957,Firestone,1
1957,Englebert,0
1957,Dunlop,0
1957,Avon,0
1958,Dunlop,7
1958,Englebert,2
1958,Continental,1
1958,Firestone,1
1958,Pirelli,0
1958,Avon,0
1959,Dunlop,8
1959,Firestone,1
1959,Avon,0
1960,Dunlop,9
1960,Firestone,1
1961,Dunlop,8
1962,Dunlop,9
1963,Dunlop,10
1964,Dunlop,10
1964,Goodyear,0
1965,Dunlop,9
1965,Goodyear,1
1966,Goodyear,4
1966,Dunlop,3
1966,Firestone,2
1967,Firestone,6
1967,Goodyear,5
1967,Dunlop,0
1968,Firestone,6
1968,Goodyear,3
1968,Dunlop,3
1969,Dunlop,6
1969,Goodyear,3
1969,Firestone,2
1970,Firestone,10
1970,Dunlop,2
1970,Goodyear,1
1971,Goodyear,7
1971,Firestone,4
1972,Firestone,7
1972,Goodyear,5
1973,Goodyear,15
1973,Firestone,0
1974,Goodyear,15
1974,Firestone,0
1975,Goodyear,14
1975,Firestone,0
1976,Goodyear,16
1976,Dunlop,0
1976,Bridgestone,0
1977,Goodyear,17
1977,Dunlop,0
1977,Bridgestone,0
1977,Michelin,0
1978,Goodyear,11
1978,Michelin,5
1979,Goodyear,8
1979,Michelin,7
1980,Goodyear,11
1980,Michelin,3
1981,Michelin,13
1981,Goodyear,2
1981,Avon,0
1981,Pirelli,0
1982,Goodyear,8
1982,Michelin,8
1982,Pirelli,0
1982,Avon,0
1983,Michelin,9
1983,Goodyear,6
1983,Pirelli,0
1984,Michelin,14
1984,Goodyear,2
1984,Pirelli,0
1985,Goodyear,15
1985,Pirelli,1
1986,Goodyear,15
1986,Pirelli,1
1987,Goodyear,16
1988,Goodyear,16
1989,Goodyear,16
1989,Pirelli,0
1990,Goodyear,16
1990,Pirelli,0
1991,Goodyear,15
1991,Pirelli,1
1992,Goodyear,16
1993,Goodyear,16
1994,Goodyear,16
1995,Goodyear,17
1996,Goodyear,16
1997,Goodyear,17
1997,Bridgestone,0
1998,Bridgestone,9
1998,Goodyear,7
1999,Bridgestone,16
2000,Bridgestone,17
2001,Bridgestone,13
2001,Michelin,4
2002,Bridgestone,15
2002,Michelin,2
2003,Bridgestone,9
2003,Michelin,7
2004,Bridgestone,15
2004,Michelin,3
2005,Michelin,18
2005,Bridgestone,1
2006,Bridgestone,9
2006,Michelin,9
2007,Bridgestone,17
2008,Bridgestone,18
2009,Bridgestone,17
2010,Bridgestone,19
2011,Pirelli,19
2012,Pirelli,20
2013,Pirelli,19
2014,Pirelli,19
2015,Pirelli,19
2016,Pirelli,21
2017,Pirelli,20
2018,Pirelli,21
2019,Pirelli,21
2020,Pirelli,17
2021,Pirelli,22
2022,Pirelli,22
2023,Pirelli,12
