year,track,traction,asphalt_grip,asphalt_abrasion,track_evolution,tyre_stress,braking,lateral,downforce
2023,spa,4,3,4,2,5,4,5,2
2023,hungary,4,3,2,4,3,3,3,5
2023,silverstone,3,3,3,2,5,2,5,4
2023,austria,2,3,4,3,3,3,3,3
2023,canada,5,1,2,5,3,5,1,1
2023,barcelona,3,3,4,3,5,3,5,4
2023,monaco,5,1,1,5,1,2,1,5
2023,imola,2,2,3,3,3,3,3,3
2023,miami,3,3,2,5,3,3,3,2
2023,baku,5,1,1,5,3,4,1,1
2023,melbourne,2,3,2,4,3,2,3,3
2023,jeddah,2,3,2,4,3,2,3,2
2023,bahrain,4,3,5,4,3,4,3,3
2022,abu dhabi,4,2,3,4,3,4,3,3
2022,brazil,3,3,4,4,3,3,3,4
2022,mexico,3,2,2,4,2,3,2,5
2022,austin,4,3,4,4,4,3,4,4
2022,japan,3,4,4,3,5,2,5,4
2022,singapore,5,2,3,4,2,5,2,5
2022,monza,3,2,3,3,5,4,2,1
2022,dutch,4,4,3,3,5,3,4,4
2022,spa,3,3,4,3,5,4,5,2
2022,budapest,4,3,2,4,3,3,3,5
2022,france,4,3,3,3,4,2,4,3
2022,austria,3,3,4,3,3,3,3,3
2022,silverstone,3,4,3,3,5,2,5,4
2022,canada,5,1,2,5,3,5,1,1
2022,baku,5,1,1,5,3,4,1,1
2022,monaco,5,1,1,5,1,2,1,5
2022,barcelona,3,3,4,3,4,3,4,4
2022,miami,3,3,2,5,3,3,3,2
2022,emilia romagna,2,2,3,3,3,3,3,3
2022,melbourne,3,2,2,4,3,3,3,3
2022,jeddah,2,3,2,4,3,2,3,2
2022,bahrain,4,3,5,4,3,4,3,3
