raceId,driverId,lapNumber,tyre,age
1110,verstappen,0,soft,new
1110,verstappen,14,medium,new
1110,verstappen,30,soft,new
1110,perez,0,soft,new
1110,perez,13,medium,new
1110,perez,29,soft,new
1110,leclerc,0,soft,new
1110,leclerc,13,medium,new
1110,leclerc,28,soft,new
1110,ham,0,soft,new
1110,ham,12,medium,new
1110,ham,27,soft,new
1110,ham,42,medium,new
1110,alonso,0,medium,new
1110,alonso,10,medium,new
1110,alonso,29,soft,new
1110,russell,0,medium,new
1110,russell,22,soft,new
1110,norris,0,medium,new
1110,norris,5,hard,new
1110,norris,17,soft,new
1110,ocon,0,soft,new
1110,ocon,6,medium,new
1110,ocon,25,soft,new
1110,stroll,0,medium,new
1110,stroll,20,soft,new
1110,tsunoda,0,medium,new
1110,tsunoda,9,medium,new
1110,tsunoda,24,soft,new
1110,gasly,0,soft,new
1110,gasly,23,medium,new
1110,bot,0,soft,new
1110,bot,6,medium,new
1110,bot,24,medium,new
1110,zhou,0,soft,new
1110,zhou,7,medium,new
1110,zhou,25,soft,new
1110,albon,0,soft,new
1110,albon,7,medium,new
1110,albon,23,medium,new
1110,albon,33,soft,new
1110,magnussen,0,soft,new
1110,magnussen,5,medium,new
1110,magnussen,25,medium,new
1110,ricciardo,0,soft,new
1110,ricciardo,5,medium,new
1110,ricciardo,22,medium,new
1110,sargeant,0,soft,new
1110,sargeant,8,medium,new
1110,sargeant,24,medium,new
1110,sargeant,34,soft,new
1110,hulkenberg,0,medium,new
1110,hulkenberg,12,soft,new
1110,hulkenberg,24,soft,new
1110,sainz,0,soft,new
1110,sainz,7,medium,new
1110,sainz,23,dnf,dnf
1110,piastri,0,medium,new
1110,piastri,0,dnf,dnf
1109,verstappen,0,medium,used
1109,verstappen,23,hard,new
1109,verstappen,51,medium,used
1109,norris,0,medium,new
1109,norris,17,hard,new
1109,norris,44,medium,used
1109,perez,0,hard,used
1109,perez,24,medium,used
1109,perez,42,medium,used
1109,ham,0,medium,used
1109,ham,16,hard,new
1109,ham,49,medium,used
1109,piastri,0,medium,used
1109,piastri,18,hard,new
1109,piastri,42,medium,used
1109,russell,0,hard,new
1109,russell,28,medium,new
1109,russell,46,medium,new
1109,leclerc,0,medium,used
1109,leclerc,17,hard,new
1109,leclerc,43,hard,used
1109,sainz,0,soft,new
1109,sainz,15,hard,new
1109,sainz,44,hard,used
1109,alonso,0,medium,used
1109,alonso,20,hard,new
1109,alonso,43,hard,used
1109,stroll,0,soft,new
1109,stroll,9,hard,used
1109,stroll,34,hard,used
1109,albon,0,medium,new
1109,albon,8,hard,used
1109,albon,31,hard,new
