year,track,hard,medium,soft
2023,spa,C2,C3,C4
2023,hungary,C3,C4,C5
2023,silverstone,C1,C2,C3
2023,austria,C3,C4,C5
2023,canada,C3,C4,C5
2023,barcelona,C1,C2,C3
2023,monaco,C3,C4,C5
2023,imola,C3,C4,C5
2023,miami,C2,C3,C4
2023,baku,C3,C4,C5
2023,melbourne,C2,C3,C4
2023,jeddah,C2,C3,C4
2023,bahrain,C1,C2,C3
2022,abu dhabi,C3,C4,C5
2022,brazil,C2,C3,C4
2022,mexico,C2,C3,C4
2022,austin,C2,C3,C4
2022,japan,C1,C2,C3
2022,singapore,C3,C4,C5
2022,monza,C2,C3,C4
2022,dutch,C1,C2,C3
2022,spa,C2,C3,C4
2022,budapest,C2,C3,C4
2022,france,C2,C3,C4
2022,austria,C3,C4,C5
2022,silverstone,C1,C2,C3
2022,canada,C3,C4,C5
2022,baku,C3,C4,C5
2022,monaco,C3,C4,C5
2022,barcelona,C1,C2,C3
2022,miami,C2,C3,C4
2022,emilia romagna,C2,C3,C4
2022,melbourne,C2,C3,C5
2022,jeddah,C2,C3,C4
2022,bahrain,C1,C2,C3
